y_true,y_pred
-0.058543306,-0.08316211
-0.139099,-0.079969
-0.15153757,-0.11201099
-0.1766924,-0.13893676
-0.15960057,-0.13919783
-0.043965556,-0.12292109
-0.012611947,-0.043546177
-0.025723508,-0.042039342
-0.0037158814,-0.03761846
-0.009835164,-0.023573346
-0.05009778,-0.01725357
-0.08207889,-0.07437935
-0.11116163,-0.08920897
-0.033271916,-0.09623382
-0.069313504,-0.021537527
-0.011582552,-0.05348087
0.13055523,0.010673583
0.22948512,0.1508713
0.22985198,0.23635536
0.23425014,0.2337209
0.18304203,0.2696868
0.22623286,0.26366478
0.22446647,0.26412696
0.23112279,0.25945345
0.21387842,0.25789693
0.25803542,0.26083857
0.25670123,0.2748899
0.29357818,0.23992094
0.22716178,0.23887894
0.22238684,0.18782231
0.16979375,0.14465447
-0.046230126,0.095782444
-0.06253152,-0.043806292
-0.07439398,-0.057603665
-0.081800334,-0.077492364
-0.059577253,-0.08630169
-0.09744951,-0.08225284
-0.06934309,-0.089970715
-0.06356988,-0.08982084
-0.11538917,-0.08509331
-0.10380444,-0.12647435
-0.12353168,-0.118936844
-0.114904456,-0.11825625
-0.122059524,-0.10628153
-0.06696942,-0.10914198
-0.07072274,-0.052411668
-0.06051215,-0.060256027
-0.17719354,-0.06779904
-0.13911058,-0.17210582
-0.12737843,-0.15023524
-0.12389123,-0.15168169
-0.11658079,-0.14413294
-0.11356487,-0.13123149
-0.0075719333,-0.094712
0.02745543,0.0104467645
-0.0018504763,0.021249302
0.016711235,0.006050512
0.017534157,0.032402687
0.019602444,0.07056349
0.012034894,0.052291498
-0.023699911,0.07314774
-0.0366465,0.054399706
0.094148725,0.026938334
0.095290355,0.07892363
0.06770515,0.054324493
0.040765606,0.022354297
0.032130763,0.007166721
-0.048421662,-0.0032976642
-0.36716112,-0.109893955
-0.33684984,-0.41496018
-0.37176952,-0.40868703
-0.24440181,-0.4565254
-0.2990431,-0.32767233
-0.23333362,-0.3500438
-0.25299484,-0.22596419
-0.2254529,-0.2451753
-0.21118721,-0.21916163
-0.2337209,-0.27254573
-0.23036912,-0.2599942
-0.24232307,-0.22049421
-0.20536888,-0.19990551
-0.1993394,-0.10518945
-0.07709849,-0.07987756
0.10370443,0.02366373
1.0922518e-06,0.070788294
0.07890051,-0.012990221
-0.059325047,0.0135003105
-0.028790498,-0.033617787
-0.11824293,-0.046882443
-0.098940395,-0.11502112
-0.11748643,-0.07266166
-0.14468817,-0.11825556
-0.09486917,-0.1743812
-0.09864003,-0.13896781
-0.09503088,-0.1265055
-0.10809801,-0.12852341
-0.07164367,-0.114422776
-0.18598418,-0.061911546
-0.1354364,-0.15295461
-0.036867954,-0.10907484
-0.025501559,-0.051199444
0.012683924,-0.017087303
0.047444392,0.040578097
0.092184685,0.1074943
0.051882014,0.13311748
0.1058851,0.11816045
0.1924805,0.14234665
0.09867046,0.16889292
0.024529519,0.123381816
0.010792769,0.055719815
-0.0050898097,0.036974117
-0.011042541,0.00013451278
0.053653225,-0.015511125
0.041052323,0.0013232455
-0.0006101954,0.0041516796
-0.03337113,-0.025931314
-0.049857836,-0.049142845
-0.007445486,-0.06698885
-0.01837677,-0.01591716
0.0122199515,-0.009472042
-0.010666254,0.035836816
-0.02036562,0.04723545
0.023782518,0.058529206
0.06760212,0.07062585
0.05904769,0.08950059
0.0756693,0.07202554
0.008716329,0.08966817
0.057584524,0.030686222
0.07807215,0.059964992
0.11517247,0.08193262
0.05387043,0.104212224
0.030465571,0.032634653
-0.09233651,0.025450349
-0.072962664,-0.08185003
0.04239112,-0.0872956
0.10603359,0.030086957
0.11459814,0.101856336
0.23586866,0.13835362
0.21425304,0.2677005
0.2409107,0.27281585
0.1880755,0.258377
0.24205215,0.23148742
0.22350875,0.26013935
0.1650627,0.23619232
0.14505213,0.21913534
0.28966403,0.18993253
0.28241926,0.2846144
0.35352206,0.25785
0.31706366,0.2617912
0.2945478,0.22077939
0.21593778,0.25325525
0.20717159,0.1853309
0.07033069,0.18471166
0.1683162,0.1330471
0.17705944,0.21970278
0.26967463,0.20418759
0.18098913,0.2528046
0.12413474,0.17461148
0.2085337,0.13930926
0.2342442,0.1906297
0.15159099,0.19728255
0.17970677,0.13899781
0.12982644,0.18500985
0.08421415,0.14907202
